,sex,row_number,liters_drunk,age,drink,check_number,label
0,1,79.0,2.0,66,Cola,3116,0
1,0,23.0,0.0,10,Fanta,8118,0
2,0,92.0,0.0,18,Fanta,2264,1
3,1,52.0,5.0,67,Beerbeer,7640,1
4,1,57.0,2.0,27,Beerbeer,8764,0
5,0,15.0,1.0,44,Bugbeer,6235,0
6,1,49.0,0.0,11,Cola,185,1
7,0,33.0,5.0,64,Fanta,2970,1
8,1,5.0,0.0,39,Water,6494,0
9,0,48.0,1.0,64,Water,9971,1
10,1,78.0,2.4767078189300413,51,Water,3592,0
11,0,32.0,2.0,35,Strong beer,2021,0
12,1,12.0,3.0,59,Cola,5675,1
13,1,16.0,5.0,77,Bugbeer,1637,0
14,1,46.0,2.4767078189300413,37,Strong beer,7830,1
15,1,4.0,3.0,18,Cola,2174,1
16,0,100.0,2.4767078189300413,15,Cola,2468,0
17,1,40.0,3.0,55,Water,8793,0
18,0,9.0,4.0,47,Bugbeer,6079,1
19,0,8.0,4.0,51,Fanta,839,1
20,1,95.0,1.0,71,Strong beer,1634,1
21,0,70.0,2.4767078189300413,31,Fanta,7091,0
22,0,52.0,3.0,38,Fanta,6992,1
23,1,44.0,4.0,42,Strong beer,3258,1
24,1,6.0,5.0,63,Water,6664,0
25,1,86.0,0.0,55,Fanta,2104,1
26,0,40.0,4.0,46,Water,1784,1
27,1,57.0,3.0,22,Cola,2744,0
28,1,82.0,5.0,10,Water,4306,1
29,0,4.0,2.0,18,Water,814,0
30,0,67.0,0.0,40,Fanta,2285,0
31,0,52.0,3.0,50,Beerbeer,3395,0
32,1,33.0,2.0,60,Fanta,8192,1
33,1,48.0,2.0,53,Cola,4185,0
34,0,29.0,1.0,49,Cola,2884,0
35,1,34.0,0.0,12,Cola,2506,0
36,0,100.0,5.0,24,Water,9165,1
37,1,96.0,4.0,70,Fanta,1639,1
38,1,50.0,4.0,48,Fanta,8911,1
39,1,45.0,2.4767078189300413,79,Beerbeer,3519,1
40,0,42.0,5.0,60,Beerbeer,1994,1
41,0,29.0,5.0,56,Cola,1522,1
42,0,20.0,5.0,72,Fanta,4966,0
43,0,3.0,4.0,29,Strong beer,4029,1
